,GAME_ID,MATCHUP
309,0022000163,GSW vs. IND
310,0022000158,BKN vs. DEN
311,0022000161,HOU vs. LAL
312,0022000163,IND @ GSW
313,0022000159,UTA @ CLE
314,0022000157,MIA @ PHI
315,0022000159,CLE vs. UTA
316,0022000161,LAL @ HOU
317,0022000157,PHI vs. MIA
318,0022000165,MIL @ DET
319,0022000172,LAC vs. NOP
320,0022000172,NOP @ LAC
321,0022000169,MIN vs. MEM
322,0022000169,MEM @ MIN
323,0022000173,SAC vs. POR
324,0022000173,POR @ SAC
325,0022000164,DAL @ CHA
326,0022000164,CHA vs. DAL
327,0022000168,BKN @ NYK
328,0022000170,OKC vs. LAL
329,0022000170,LAL @ OKC
330,0022000168,NYK vs. BKN
331,0022000165,DET vs. MIL
332,0022000177,DEN vs. GSW
333,0022000177,GSW @ DEN
334,0022000176,SAS vs. HOU
335,0022000176,HOU @ SAS
336,0022000178,IND @ POR
337,0022000175,TOR vs. CHA
338,0022000175,CHA @ TOR
339,0022000174,PHI vs. MIA
340,0022000174,MIA @ PHI
341,0022000178,POR vs. IND
342,0022000180,ORL @ BOS
343,0022000187,NOP @ LAL
344,0022000187,LAL vs. NOP
345,0022000182,MIL vs. DAL
346,0022000182,DAL @ MIL
347,0022000181,NYK @ CLE
348,0022000181,CLE vs. NYK
349,0022000188,SAC vs. LAC
350,0022000186,ATL @ UTA
351,0022000186,UTA vs. ATL
352,0022000188,LAC @ SAC
353,0022000184,OKC vs. CHI
354,0022000184,CHI @ OKC
355,0022000180,BOS vs. ORL
356,0022000193,PHI @ MEM
357,0022000190,ORL @ BKN
358,0022000190,BKN vs. ORL
359,0022000192,MIA vs. DET
360,0022000193,MEM vs. PHI
361,0022000192,DET @ MIA
362,0022000195,ATL @ POR
363,0022000191,TOR vs. CHA
364,0022000189,SAS vs. HOU
365,0022000189,HOU @ SAS
366,0022000195,POR vs. ATL
367,0022000191,CHA @ TOR
368,0022000200,DEN vs. UTA
369,0022000196,NYK @ BOS
